,"X,Y","""Convertidores Estaticos""
20:AA:4B:AE:FD:0A","""FabLab""
AC:84:C6:3E:EF:51","""linksys""
00:25:9C:98:4B:7D","""AP_1612927617""
BC:54:F9:FC:7F:60","""Lab ERNC""
00:90:4C:91:00:03","""Vibraciones""
50:C7:BF:DD:C3:B3","""Baxter""
EC:22:80:F3:EB:EA","""Laboratorio de Redes""
48:F8:B3:22:4C:FA","""Lab Energia Renovable 2""
98:FC:11:54:32:53","""Microondas""
48:F8:B3:22:4D:4B","""Docentes FI""
0E:18:D6:CB:01:A4","""Sala Dise\xC3\xB1o""
0A:18:D6:CB:01:A4","""CE5CFB""
98:FC:11:E2:A6:A5","""Lab 212""
00:23:CD:18:65:9C","""Ing. Civil Telecomunicaciones""
00:1E:E5:7B:E0:BE","""Comunicaciones FP 2,4""
14:91:82:30:FD:F6"
0,"(0,2)",-65,-77,-77,-71,-70,-70,-77,-54,-74,-78,-79,-75,-78,-86,-72,-79
1,"(0,2)",-65,-77,-77,-71,-70,-70,-77,-53,-74,-77,-78,-76,-78,-85,-73,-79
2,"(0,2)",-65,-77,-77,-71,-70,-70,-77,-52,-73,-77,-78,-75,-78,-85,-72,-79
3,"(0,2)",-65,-77,-77,-71,-70,-70,-77,-52,-73,-77,-78,-76,-78,-83,-71,-79
4,"(0,2)",-65,-77,-77,-71,-70,-70,-77,-52,-74,-79,-77,-77,-78,-82,-71,-79
5,"(0,2)",-65,-77,-77,-71,-70,-70,-77,-52,-74,-79,-77,-77,-78,-82,-71,-79
6,"(0,2)",-65,-77,-77,-71,-70,-70,-77,-52,-74,-78,-77,-77,-78,-81,-71,-79
7,"(0,2)",-65,-77,-77,-71,-71,-70,-77,-52,-75,-77,-77,-76,-78,-81,-71,-79
8,"(0,2)",-65,-77,-77,-71,-71,-70,-77,-52,-74,-77,-77,-76,-78,-81,-71,-81
9,"(0,2)",-65,-77,-77,-71,-71,-70,-77,-52,-73,-77,-77,-75,-78,-81,-71,-81
10,"(0,2)",-65,-77,-77,-70,-74,-70,-77,-52,-73,-78,-77,-75,-78,-81,-71,-81
11,"(0,2)",-65,-77,-77,-70,-73,-70,-77,-52,-73,-78,-77,-76,-78,-81,-71,-81
12,"(0,2)",-65,-77,-77,-70,-73,-70,-77,-52,-73,-78,-77,-76,-78,-81,-70,-81
13,"(0,2)",-65,-78,-77,-70,-72,-70,-77,-52,-73,-76,-77,-77,-78,-81,-70,-81
14,"(0,2)",-65,-78,-77,-71,-72,-70,-77,-52,-73,-77,-77,-77,-78,-81,-70,-81
15,"(0,2)",-65,-78,-77,-71,-72,-70,-77,-52,-74,-77,-77,-77,-78,-81,-70,-81
16,"(0,2)",-65,-78,-77,-71,-72,-70,-77,-52,-75,-77,-77,-77,-78,-84,-70,-89
17,"(0,2)",-65,-78,-77,-71,-72,-70,-77,-52,-74,-78,-77,-77,-78,-83,-70,-89
18,"(0,2)",-65,-78,-77,-71,-72,-70,-77,-52,-75,-78,-76,-77,-78,-83,-70,-89
19,"(0,2)",-65,-78,-77,-70,-72,-70,-77,-52,-75,-78,-77,-77,-78,-82,-70,-89
20,"(0,2)",-65,-78,-77,-70,-72,-70,-77,-52,-74,-78,-75,-77,-78,-82,-70,-89
21,"(0,2)",-65,-78,-77,-72,-72,-70,-77,-52,-74,-78,-76,-77,-78,-81,-70,-89
22,"(0,2)",-65,-78,-77,-72,-72,-70,-77,-52,-73,-77,-77,-77,-78,-81,-70,-89
23,"(0,2)",-65,-78,-77,-72,-72,-70,-77,-52,-74,-77,-77,-77,-78,-81,-70,-89
24,"(0,2)",-65,-78,-77,-72,-72,-70,-77,-55,-74,-76,-77,-76,-78,-81,-70,-89
25,"(0,2)",-65,-78,-77,-72,-71,-70,-77,-59,-73,-77,-77,-75,-78,-81,-70,-89
26,"(0,2)",-65,-78,-77,-72,-71,-70,-77,-55,-73,-78,-77,-79,-78,-81,-70,-89
27,"(0,2)",-65,-78,-78,-72,-71,-70,-77,-53,-74,-78,-77,-79,-78,-81,-70,-89
28,"(0,2)",-65,-78,-78,-72,-72,-70,-77,-53,-73,-78,-77,-78,-78,-81,-70,-89
29,"(0,2)",-65,-78,-78,-72,-71,-70,-77,-52,-73,-78,-77,-76,-78,-81,-70,-89
30,"(0,2)",-65,-78,-78,-72,-71,-70,-77,-52,-74,-78,-76,-76,-78,-81,-70,-89
31,"(0,2)",-65,-78,-78,-72,-71,-70,-77,-52,-74,-78,-77,-76,-78,-81,-70,-89
32,"(0,2)",-65,-78,-78,-72,-71,-70,-77,-52,-74,-78,-76,-76,-78,-81,-70,-89
33,"(0,2)",-65,-78,-78,-71,-71,-70,-77,-52,-74,-78,-76,-77,-78,-81,-70,-89
34,"(0,2)",-65,-78,-78,-71,-71,-70,-77,-52,-74,-77,-76,-77,-78,-80,-70,-89
35,"(0,2)",-65,-78,-78,-71,-71,-70,-75,-52,-74,-77,-76,-77,-78,-80,-70,-89
36,"(0,2)",-65,-78,-78,-71,-71,-70,-76,-52,-74,-76,-75,-76,-78,-80,-70,-89
