pos,"84:D4:7E:29:3E:92""","""FabLab""
AC:84:C6:3E:EF:51","""AP_1612927617""
BC:54:F9:FC:7F:60","""SMA1930055648""
B0:72:BF:05:3C:3D","""Eduescob1""
68:FF:7B:1D:44:01","""Lab ERNC""
00:90:4C:91:00:03","""LCDA""
B0:48:7A:DE:14:8C","""Lab Energia Renovable 2""
98:FC:11:54:32:53","""Microondas""
48:F8:B3:22:4D:4B","""Sala Dise\xC3\xB1o""
0E:18:D6:CB:01:A4","""Ing. Civil Telecomunicaciones""
00:1E:E5:7B:E0:BE","""Die231""
EC:08:6B:42:B5:4A"
0,-78,-65,-77,-77,-90,-87,-76,-76,-77,-74,-73,-80
0,-71,-66,-71,-71,-88,-88,-77,-73,-79,-75,-73,-79
0,-78,-66,-76,-76,-87,-88,-72,-75,-78,-75,-76,-79
0,-74,-66,-71,-71,-85,-88,-77,-76,-74,-75,-73,-78
0,-75,-66,-75,-75,-87,-87,-77,-75,-75,-75,-78,-77
0,-73,-67,-74,-74,-87,-89,-76,-77,-75,-75,-72,-77
0,-67,-68,-67,-67,-86,-89,-76,-75,-75,-83,-81,-69
0,-75,-66,-74,-75,-86,-89,-76,-75,-79,-73,-79,-73
0,-74,-64,-74,-74,-88,-84,-74,-77,-77,-73,-79,-72
0,-72,-65,-72,-72,-88,-84,-75,-77,-77,-73,-77,-70
0,-72,-63,-72,-72,-90,-85,-75,-77,-77,-73,-77,-69
0,-75,-66,-75,-75,-91,-85,-74,-74,-77,-73,-78,-68
0,-72,-65,-72,-72,-89,-85,-74,-76,-74,-78,-68,-70
0,-76,-65,-76,-76,-89,-87,-74,-76,-76,-78,-67,-67
0,-71,-66,-72,-72,-89,-86,-72,-76,-76,-78,-69,-67
0,-77,-67,-77,-77,-91,-85,-78,-76,-76,-78,-69,-67
0,-81,-66,-81,-80,-88,-85,-75,-75,-76,-78,-70,-69
0,-75,-65,-74,-74,-88,-87,-76,-76,-76,-74,-69,-69
0,-74,-66,-74,-74,-87,-83,-76,-74,-76,-77,-72,-69
0,-76,-64,-76,-75,-89,-85,-77,-75,-76,-77,-70,-68
0,-75,-64,-74,-76,-90,-86,-73,-75,-75,-79,-67,-68
0,-76,-66,-76,-76,-88,-86,-73,-75,-75,-79,-67,-68
0,-71,-67,-71,-72,-87,-85,-77,-75,-76,-79,-67,-67
0,-73,-66,-73,-72,-90,-84,-75,-76,-76,-79,-72,-67
0,-75,-66,-76,-76,-89,-84,-77,-77,-75,-79,-71,-67
0,-73,-63,-73,-73,-93,-90,-78,-77,-75,-79,-70,-67
0,-72,-63,-73,-73,-89,-88,-74,-77,-77,-81,-70,-67
0,-73,-63,-74,-74,-89,-88,-75,-76,-76,-79,-71,-67
0,-73,-65,-73,-73,-89,-86,-79,-77,-78,-79,-68,-68
0,-78,-65,-78,-78,-88,-87,-74,-77,-78,-79,-68,-70
0,-73,-67,-73,-73,-88,-86,-80,-77,-78,-79,-70,-70
0,-77,-64,-78,-79,-86,-86,-80,-78,-78,-77,-68,-66
0,-75,-64,-75,-75,-86,-86,-80,-71,-77,-79,-68,-64
0,-78,-70,-76,-76,-86,-86,-80,-71,-77,-79,-69,-67
0,-75,-70,-75,-74,-88,-87,-77,-77,-79,-80,-67,-67
0,-75,-70,-75,-75,-89,-87,-77,-77,-78,-80,-68,-66
0,-76,-66,-74,-74,-87,-88,-76,-77,-78,-80,-70,-67
0,-75,-65,-74,-74,-88,-86,-75,-77,-77,-80,-68,-66
0,-74,-65,-73,-73,-88,-86,-75,-77,-77,-80,-70,-67
0,-75,-66,-75,-75,-89,-87,-73,-77,-77,-80,-70,-68
0,-74,-68,-75,-74,-89,-87,-75,-78,-74,-80,-69,-68
0,-73,-65,-74,-73,-91,-85,-79,-77,-74,-80,-69,-66
0,-74,-66,-74,-74,-88,-86,-74,-75,-79,-70,-66,-78
0,-73,-67,-73,-74,-88,-89,-78,-75,-79,-70,-67,-75
0,-72,-67,-71,-71,-91,-85,-75,-79,-74,-70,-67,-80
0,-72,-67,-71,-71,-90,-86,-73,-77,-74,-68,-67,-79
0,-71,-65,-71,-71,-89,-86,-74,-75,-77,-68,-67,-79
0,-72,-66,-71,-71,-89,-86,-77,-75,-77,-71,-67,-79
0,-74,-64,-74,-74,-91,-87,-74,-77,-77,-67,-67,-77
0,-74,-65,-73,-73,-91,-83,-77,-77,-77,-68,-67,-78
0,-74,-65,-74,-73,-89,-83,-75,-76,-75,-67,-67,-78
0,-74,-65,-73,-73,-89,-88,-74,-76,-77,-69,-67,-77
0,-77,-66,-76,-76,-88,-87,-74,-77,-76,-69,-66,-78
0,-74,-67,-73,-73,-90,-87,-74,-77,-76,-67,-69,-77
0,-80,-66,-80,-80,-88,-87,-75,-80,-76,-70,-69,-78
0,-82,-65,-82,-81,-88,-87,-76,-77,-76,-68,-69,-78
0,-76,-65,-76,-76,-88,-88,-76,-77,-76,-67,-68,-78
0,-75,-65,-76,-75,-88,-86,-76,-77,-76,-68,-68,-78
0,-74,-65,-73,-74,-88,-84,-75,-77,-72,-68,-67,-78
