,"X,Y","""Laboratorio de Redes""
48:F8:B3:22:4C:FA","""Lab ERNC""
00:90:4C:91:00:03","""Ing. Civil Telecomunicaciones""
00:1E:E5:7B:E0:BE","""Lab Energia Renovable 2""
98:FC:11:54:32:53","""AP_1612927617""
BC:54:F9:FC:7F:60","""Informatica_IS2-2""
00:4F:67:04:E5:70","""Microondas""
48:F8:B3:22:4D:4B","""Docentes FI""
0E:18:D6:CB:01:A4","""LabSerc 2.4""
94:10:3E:86:13:20","""FabLab""
AC:84:C6:3E:EF:51","""Lab Energias Renovables""
F4:EC:38:D2:09:78","""UdeC""
84:D4:7E:29:3E:80","""eduroam""
84:D4:7E:29:3E:82","""Die231""
EC:08:6B:42:B5:4A","""Convertidores Estaticos""
20:AA:4B:AE:FD:0A","""Lab 212""
00:23:CD:18:65:9C","""Sistemas Electronicos""
64:70:02:40:6C:DE","""linksys""
00:25:9C:98:4B:7D","""LCDA""
B0:48:7A:DE:14:8C","""DII-SalaEstudio""
D8:5D:4C:BF:11:FA","""Vibraciones""
50:C7:BF:DD:C3:B3","""MII2011""
74:EA:3A:C6:29:A0","""WiFi-UdeC""
84:D4:7E:29:3E:81","""Sala Dise\xC3\xB1o""
0A:18:D6:CB:01:A4","""Docentes FI""
0E:18:D6:6B:17:8E","""SMA1930055648""
B0:72:BF:05:3C:3D","""Baxter""
EC:22:80:F3:EB:EA","""labceramicos""
E8:DE:27:7F:69:DC"
0,"(0,0)",-45,-69,-59,-63,-65,-81,-73,-81,-77,-79,-65,-77,-77,-79,-57,-83,-75,-77,-79,-73,-71,-83,-77,-75,-89,-83,-87,-89
1,"(0,0)",-45,-69,-59,-65,-67,-79,-71,-79,-77,-75,-67,-77,-75,-79,-57,-83,-77,-77,-75,-71,-71,-83,-77,-75,-87,-83,-87,-89
2,"(0,0)",-45,-71,-59,-65,-65,-79,-71,-79,-79,-73,-67,-77,-73,-79,-57,-83,-77,-81,-75,-73,-71,-85,-77,-75,-89,-83,-87,-89
3,"(0,0)",-45,-69,-61,-65,-65,-81,-73,-79,-79,-73,-65,-77,-75,-79,-55,-83,-77,-81,-79,-75,-69,-83,-77,-75,-87,-83,-89,-89
4,"(0,0)",-45,-69,-59,-65,-65,-79,-65,-79,-79,-73,-67,-75,-75,-79,-57,-83,-77,-79,-79,-75,-69,-83,-77,-75,-87,-83,-87,-89
5,"(0,0)",-45,-69,-59,-65,-65,-79,-73,-79,-79,-73,-67,-75,-75,-81,-57,-83,-77,-81,-79,-75,-69,-83,-75,-75,-87,-83,-87,-87
6,"(0,0)",-45,-69,-59,-63,-67,-79,-71,-81,-79,-79,-65,-77,-75,-77,-55,-83,-75,-81,-77,-75,-71,-83,-83,-75,-87,-83,-87,-87
7,"(0,0)",-45,-69,-59,-63,-65,-81,-71,-75,-79,-75,-67,-77,-75,-77,-57,-83,-75,-81,-77,-75,-71,-83,-83,-75,-87,-83,-87,-87
8,"(0,0)",-45,-69,-59,-63,-67,-71,-71,-75,-79,-75,-67,-77,-75,-75,-57,-83,-77,-77,-75,-65,-67,-83,-83,-75,-87,-83,-87,-87
9,"(0,0)",-43,-69,-59,-63,-65,-79,-71,-79,-79,-73,-67,-75,-75,-79,-57,-83,-77,-77,-73,-65,-69,-83,-75,-75,-85,-83,-89,-87
10,"(0,0)",-45,-67,-59,-63,-65,-87,-73,-77,-79,-73,-67,-75,-75,-75,-57,-83,-77,-79,-73,-65,-69,-85,-75,-75,-81,-85,-89,-87
11,"(0,0)",-45,-69,-59,-65,-65,-77,-71,-65,-79,-79,-67,-77,-77,-77,-57,-83,-73,-79,-81,-73,-69,-85,-77,-75,-81,-85,-89,-87
12,"(0,0)",-45,-69,-61,-65,-65,-77,-71,-65,-79,-79,-65,-77,-75,-79,-57,-81,-73,-81,-81,-73,-71,-81,-77,-81,-81,-85,-89,-85
13,"(0,0)",-45,-69,-59,-65,-67,-79,-71,-89,-79,-73,-67,-77,-77,-79,-59,-81,-73,-77,-71,-73,-69,-83,-77,-81,-81,-85,-89,-85
14,"(0,0)",-43,-67,-59,-65,-67,-79,-73,-89,-79,-75,-67,-77,-75,-79,-57,-83,-75,-81,-81,-73,-71,-83,-75,-75,-87,-85,-89,-87
15,"(0,0)",-45,-67,-59,-63,-67,-79,-71,-89,-79,-71,-67,-77,-81,-71,-57,-83,-75,-79,-79,-71,-69,-83,-75,-75,-87,-85,-89,-87
16,"(0,0)",-45,-67,-59,-65,-65,-81,-73,-89,-79,-79,-67,-77,-81,-75,-57,-83,-75,-81,-77,-69,-69,-83,-75,-75,-87,-85,-89,-87
17,"(0,0)",-41,-69,-59,-73,-65,-81,-69,-79,-77,-73,-65,-77,-77,-79,-57,-83,-71,-79,-73,-69,-69,-83,-77,-75,-87,-83,-89,-87
18,"(0,0)",-45,-69,-59,-63,-65,-81,-71,-79,-77,-77,-67,-77,-77,-77,-57,-83,-77,-77,-73,-71,-71,-85,-77,-75,-87,-83,-89,-87
19,"(0,0)",-47,-69,-59,-63,-65,-79,-73,-81,-79,-75,-67,-75,-77,-77,-59,-83,-73,-79,-79,-71,-67,-85,-75,-75,-87,-83,-87,-87
20,"(0,0)",-45,-69,-59,-63,-65,-81,-73,-81,-79,-79,-67,-75,-77,-79,-59,-85,-73,-77,-79,-69,-67,-85,-75,-79,-87,-83,-87,-91
21,"(0,0)",-45,-67,-59,-71,-65,-79,-71,-77,-79,-73,-67,-75,-77,-79,-57,-85,-73,-77,-71,-71,-71,-85,-75,-79,-87,-85,-87,-85
22,"(0,0)",-43,-71,-59,-65,-67,-79,-73,-77,-77,-79,-67,-75,-75,-77,-57,-85,-77,-81,-73,-73,-71,-85,-75,-79,-85,-85,-87,-85
23,"(0,0)",-41,-71,-59,-65,-67,-75,-71,-81,-77,-77,-65,-77,-83,-77,-55,-85,-73,-83,-79,-69,-69,-71,-77,-81,-85,-85,-87,-85
24,"(0,0)",-45,-69,-59,-63,-65,-79,-71,-75,-77,-73,-65,-77,-83,-75,-57,-85,-77,-81,-81,-71,-71,-71,-77,-81,-85,-83,-87,-85
25,"(0,0)",-45,-71,-57,-63,-67,-77,-73,-75,-77,-73,-65,-77,-75,-75,-57,-83,-77,-81,-71,-69,-71,-83,-75,-75,-85,-85,-87,-87
26,"(0,0)",-39,-69,-57,-63,-65,-79,-71,-75,-77,-77,-69,-77,-73,-79,-57,-83,-77,-81,-79,-69,-71,-85,-77,-81,-85,-85,-87,-85
27,"(0,0)",-45,-69,-59,-63,-65,-79,-73,-79,-77,-77,-69,-75,-75,-79,-55,-83,-75,-79,-75,-69,-71,-85,-77,-81,-85,-83,-87,-89
28,"(0,0)",-47,-69,-59,-63,-65,-79,-73,-79,-77,-75,-67,-75,-75,-79,-57,-83,-73,-83,-75,-69,-67,-83,-75,-81,-85,-85,-87,-89
29,"(0,0)",-45,-67,-59,-65,-63,-81,-73,-77,-77,-73,-67,-75,-75,-79,-57,-83,-73,-81,-77,-71,-69,-87,-75,-81,-85,-87,-89,-89
