"""Convertidores Estaticos""
20:AA:4B:AE:FD:0A","""FabLab""
AC:84:C6:3E:EF:51","""AP_1612927617""
BC:54:F9:FC:7F:60","""Microondas""
48:F8:B3:22:4D:4B","""Lab Energia Renovable 2""
98:FC:11:54:32:53","""CE5CFB""
98:FC:11:E2:A6:A5","""Laboratorio de Redes""
48:F8:B3:22:4C:FA","""Ing. Civil Telecomunicaciones""
00:1E:E5:7B:E0:BE","""Lab Energias Renovables""
F4:EC:38:D2:09:78","""LabSerc 2.4""
94:10:3E:86:13:20","""""
36:CE:5E:1A:4C:1D","""Die231""
EC:08:6B:42:B5:4A","""Moto G (5) Plus 5535""
F0:D7:AA:D9:72:06","""HUAWEI P smart 2019""
D8:9B:3B:F7:BE:7B","""Sistemas Electronicos""
64:70:02:40:6C:DE"
-67,-74,-75,-65,-72,-77,-59,-67,-77,-78,-70,-79,-79,-79,-77
-67,-75,-76,-67,-72,-77,-58,-68,-77,-78,-70,-79,-79,-79,-77
-67,-75,-76,-66,-72,-77,-58,-68,-77,-78,-70,-79,-79,-79,-78
-67,-75,-76,-66,-72,-77,-58,-67,-77,-78,-70,-79,-79,-79,-78
-68,-74,-77,-65,-72,-77,-59,-67,-77,-78,-70,-79,-79,-79,-78
-70,-75,-77,-65,-72,-77,-58,-67,-77,-78,-79,-79,-79,-78,-77
-70,-75,-77,-65,-72,-78,-61,-67,-77,-78,-79,-79,-81,-78,-77
-70,-75,-77,-66,-76,-78,-60,-67,-77,-78,-79,-81,-81,-78,-77
-69,-75,-77,-66,-77,-77,-59,-67,-77,-78,-79,-81,-83,-78,-77
-69,-76,-76,-65,-77,-77,-58,-67,-77,-78,-79,-81,-84,-78,-77
-68,-76,-76,-65,-77,-77,-57,-67,-77,-78,-79,-81,-84,-78,-77
-68,-76,-75,-65,-77,-78,-58,-67,-77,-78,-79,-81,-85,-78,-77
-68,-77,-75,-64,-77,-78,-59,-68,-77,-78,-79,-81,-84,-78,-77
-68,-77,-76,-67,-76,-78,-58,-68,-77,-78,-79,-81,-84,-78,-77
-68,-77,-76,-68,-75,-78,-58,-68,-77,-78,-79,-81,-87,-78,-77
-68,-77,-77,-67,-75,-76,-60,-68,-77,-78,-79,-86,-78,-77,-77
-68,-76,-77,-67,-75,-77,-58,-68,-77,-78,-79,-86,-78,-77,-76
-68,-76,-77,-66,-75,-77,-57,-67,-77,-78,-79,-85,-78,-77,-76
-68,-75,-77,-66,-75,-77,-55,-67,-77,-78,-79,-85,-78,-77,-76
-68,-74,-76,-65,-74,-77,-58,-67,-77,-78,-79,-85,-78,-77,-77
-68,-75,-77,-65,-74,-77,-58,-68,-77,-78,-79,-85,-78,-77,-76
-68,-75,-77,-65,-74,-77,-58,-67,-76,-78,-79,-85,-78,-77,-77
-68,-76,-77,-66,-74,-77,-56,-67,-77,-78,-79,-86,-78,-77,-77
-68,-76,-77,-66,-73,-77,-55,-67,-77,-78,-79,-86,-78,-78,-76
-68,-76,-77,-65,-73,-77,-55,-67,-77,-78,-79,-86,-78,-78,-77
-68,-77,-77,-65,-73,-77,-55,-67,-77,-78,-79,-84,-78,-78,-77
-68,-76,-77,-65,-73,-76,-58,-67,-77,-78,-79,-84,-78,-78,-77
-68,-76,-77,-66,-73,-76,-56,-67,-77,-78,-79,-82,-78,-79,-77
-68,-76,-77,-65,-72,-77,-57,-65,-77,-78,-79,-82,-78,-79,-77
-68,-76,-77,-65,-72,-77,-57,-65,-77,-78,-79,-82,-78,-79,-77
-68,-75,-77,-66,-72,-77,-57,-65,-77,-78,-79,-82,-78,-79,-76
-68,-77,-77,-65,-72,-77,-57,-65,-77,-78,-79,-81,-78,-79,-76
-68,-77,-77,-66,-72,-77,-58,-65,-77,-78,-79,-81,-78,-79,-77
-68,-76,-77,-65,-72,-77,-58,-65,-77,-78,-79,-81,-78,-79,-77
-68,-75,-77,-65,-72,-77,-57,-65,-77,-78,-79,-81,-78,-79,-77
